version,core,style,seed,years,life,shortages,sales,sold,expenses,tax,total,goal,bankrupt,cashRatio
before,allWorld,cash,0,20,2,0,0,0,135000,0,2029214,false,false,0.4303350730934593
before,allWorld,cash,1,20,1,0,0,0,81000,0,2097871,false,false,0.44105996497656186
before,allWorld,cash,2,20,1,0,0,0,99000,0,2024040,false,false,0.4255154894477702
before,allWorld,cash,3,20,2,0,0,0,99000,0,1664407,false,false,0.4406273107084406
before,allWorld,cash,4,20,1,0,0,0,70000,0,1730065,false,false,0.44810476983467706
before,allWorld,cash,5,20,1,0,0,0,90000,0,1708666,false,false,0.4353968039585149
before,allWorld,cash,6,20,3,0,0,0,200500,0,1406021,false,false,0.42784990934813727
before,allWorld,cash,7,20,3,0,0,0,184500,0,1249069,false,false,0.4740622743529947
before,allWorld,cash,8,20,1,0,0,0,63000,0,1468657,false,false,0.47187945211187277
before,allWorld,cash,9,20,2,0,0,0,139500,0,1690578,false,false,0.44692204095487814
before,allWorld,cash,10,20,2,0,0,0,160000,0,1585928,false,false,0.45107848249984056
before,allWorld,cash,11,20,2,0,0,0,110000,0,1239057,false,false,0.45725550982018887
before,allWorld,cash,12,20,2,0,0,0,150500,0,1215061,false,false,0.46694885741059133
before,allWorld,cash,13,20,2,0,0,0,90500,0,2341196,false,false,0.4399829742804348
before,allWorld,cash,14,20,0,0,0,0,0,0,1584925,false,false,0.48238974444879884
before,allWorld,cash,15,20,1,0,0,0,99000,0,1556653,false,false,0.4912525464033431
before,allWorld,cash,16,20,2,0,0,0,94500,0,1561854,false,false,0.467926736419295
before,allWorld,cash,17,20,2,0,0,0,126000,0,2054104,false,false,0.4346399084619863
before,allWorld,cash,18,20,4,0,0,0,234500,0,1742776,false,false,0.42780941060860067
before,allWorld,cash,19,20,2,0,0,0,99000,0,2237901,false,false,0.4443394777524956
before,allWorld,cash,20,20,2,0,0,0,160000,0,1292248,false,false,0.4272096803578586
before,allWorld,cash,21,20,3,0,0,0,155000,0,1908143,false,false,0.4450576664165641
before,allWorld,cash,22,20,4,0,0,0,248000,0,1079711,false,false,0.44455157300328424
before,allWorld,cash,23,20,1,0,0,0,40500,0,1672357,false,false,0.4300915565563243
before,allWorld,cash,24,20,3,0,0,0,144000,0,1796694,false,false,0.4175368648363157
before,allWorld,cash,25,20,1,0,0,0,50000,0,1673491,false,false,0.4900192809515266
before,allWorld,cash,26,20,0,0,0,0,0,0,1433510,false,false,0.44942416924145157
before,allWorld,cash,27,20,1,0,0,0,90000,0,1225963,false,false,0.48160092525113374
before,allWorld,cash,28,20,2,0,0,0,169000,0,1089591,false,false,0.45911189706266614
before,allWorld,cash,29,20,1,0,0,0,63000,0,1780201,false,false,0.45856531365390774
before,allWorld,cash,30,20,1,0,0,0,81000,0,1845463,false,false,0.4445760647424149
before,allWorld,cash,31,20,1,0,0,0,90000,0,1701624,false,false,0.4284886014237636
before,allWorld,cash,32,20,4,0,0,0,252500,0,1253773,false,false,0.47974691601167424
before,allWorld,cash,33,20,0,0,0,0,0,0,1464000,false,false,0.4609829190461029
before,allWorld,cash,34,20,1,0,0,0,81000,0,1706232,false,false,0.418127209555358
