seed,core,preference,cards,phase,total,max_drawdown,satellites,policies,contributions,goal
0,allWorld,長期方針優先,false,clear,2414648,-0.1986178164972389,dividend,contributions+emergencyFund+reinvestment,320000,false
1,allWorld,長期方針優先,false,clear,3445579,-0.14167378967983274,,emergencyFund+reinvestment+contributions+cashManagement,170000,true
2,allWorld,長期方針優先,false,clear,2594270,-0.21115645902587857,,reinvestment+contributions+emergencyFund+cashManagement,280000,false
3,allWorld,長期方針優先,false,clear,1687879,-0.17607814428160717,,emergencyFund+reinvestment+cashManagement+contributions,100000,false
4,allWorld,長期方針優先,false,clear,2034921,-0.1679186908134549,,reinvestment+emergencyFund+contributions+cashManagement,160000,false
5,allWorld,長期方針優先,false,clear,1910624,-0.08936200427522908,gold,cashManagement+reinvestment+contributions,120000,false
6,allWorld,長期方針優先,false,clear,1487661,-0.29531811167390365,gold,reinvestment+cashManagement+contributions,190000,false
7,allWorld,長期方針優先,false,clear,1689435,-0.4008039912049389,,emergencyFund+reinvestment+contributions+cashManagement,190000,false
8,allWorld,長期方針優先,false,clear,1222380,-0.23058804637656127,dividend,contributions+cashManagement+emergencyFund,320000,false
9,allWorld,長期方針優先,false,clear,1770029,-0.28014893578070954,dividend,emergencyFund+reinvestment+contributions,160000,false
10,allWorld,長期方針優先,false,clear,1539714,-0.21749817387173068,,contributions+reinvestment+cashManagement+emergencyFund,320000,false
11,allWorld,長期方針優先,false,clear,915302,-0.3949278662736997,gold,contributions+reinvestment+cashManagement,320000,false
12,allWorld,長期方針優先,false,clear,1083201,-0.2788621317753077,gold,reinvestment+emergencyFund+contributions,80000,false
13,allWorld,長期方針優先,false,clear,3411304,-0.0628249027237354,,contributions+emergencyFund+reinvestment+cashManagement,350000,true
14,allWorld,長期方針優先,false,clear,1639680,-0.14188036768146348,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
15,allWorld,長期方針優先,false,clear,1537232,-0.3331177360835306,,cashManagement+contributions+emergencyFund+reinvestment,240000,false
16,allWorld,長期方針優先,false,clear,1509906,-0.26706982833032133,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
17,allWorld,長期方針優先,false,clear,2342209,-0.21324994638115596,,contributions+emergencyFund+reinvestment+cashManagement,330000,false
18,allWorld,長期方針優先,false,clear,1894321,-0.33758723291612597,dividend,contributions+emergencyFund+reinvestment,320000,false
19,allWorld,長期方針優先,false,clear,2704251,-0.225262947764681,dividend,emergencyFund+contributions+reinvestment,240000,false
20,allWorld,長期方針優先,false,clear,1218027,-0.26378268177478736,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
21,allWorld,長期方針優先,false,clear,1954874,-0.3070403478105586,,contributions+cashManagement+reinvestment+emergencyFund,330000,false
22,allWorld,長期方針優先,false,clear,1252663,-0.27948169921405336,,emergencyFund+cashManagement+contributions+reinvestment,250000,false
23,allWorld,長期方針優先,false,clear,1701222,-0.20580076741077105,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
24,allWorld,長期方針優先,false,clear,2044664,-0.08468118050016422,dividend,emergencyFund+contributions+reinvestment,240000,false
25,allWorld,長期方針優先,false,clear,1522314,-0.41880811840760984,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
